end station id,N,name,latitude,longitude
317,294,E 6 St & Avenue B,40.72453734,-73.98185424
3170,141,W 84 St & Columbus Ave,40.78499979,-73.97283406
3171,197,Amsterdam Ave & W 82 St,40.78524672,-73.97667321
3172,110,W 74 St & Columbus Ave,40.7785669,-73.97754961
3173,166,Riverside Blvd & W 67 St,40.777507027548,-73.9888858795166
3175,209,W 70 St & Amsterdam Ave,40.77748046,-73.98288594
3177,130,W 84 St & Broadway,40.7867947,-73.977112
3178,80,Riverside Dr & W 78 St,40.78414472,-73.98362492
3179,41,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342
3182,60,Yankee Ferry Terminal,40.686931,-74.016966
319,258,Fulton St & Broadway,40.711066,-74.009447
320,172,Leonard St & Church St,40.717571,-74.005549
321,153,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773
3221,30,47 Ave & 31 St,40.743,-73.93561
3223,85,E 55 St & 3 Ave,40.7589965596051,-73.9686539769173
3226,99,W 82 St & Central Park West,40.78275,-73.97137
323,141,Lawrence St & Willoughby St,40.69236178,-73.98631746
3231,80,E 67 St & Park Ave,40.7678008014813,-73.9659208059311
3232,197,Bond St & Fulton St,40.6896218879033,-73.9830426871777
3233,397,E 48 St & 5 Ave,40.7572456791173,-73.978059142828
3235,238,E 41 St & Madison Ave,40.752165280622,-73.9799219369888
3236,274,W 42 St & Dyer Ave,40.7589848139963,-73.9937996864319
324,190,DeKalb Ave & Hudson Ave,40.689888,-73.981013
3241,57,Monroe St & Tompkins Ave,40.686203,-73.944694
3242,111,Schermerhorn St & Court St,40.6910292567797,-73.991833627224
3243,94,E 58 St & 1 Ave,40.758923863777,-73.9622622728348
3244,309,University Pl & E 8 St,40.7314372408523,-73.9949034154415
3245,3,NYCBS DEPOT - DELANCEY,40.7164442313448,-73.9823305606842
3246,11,Montague St & Clinton St,40.6942811413973,-73.9923003315926
3249,45,Verona Pl & Fulton St,40.6803560840434,-73.9476791024208
325,250,E 19 St & 3 Ave,40.73624527,-73.98473765
3254,69,Soissons Landing,40.6923166071919,-74.0148657560349
3255,736,8 Ave & W 31 St,40.7505853470215,-73.9946848154068
3256,333,Pier 40 - Hudson River Park,40.7277140777778,-74.011295735836
3258,202,W 27 St & 10 Ave,40.7501815632568,-74.0021842718124
3259,262,9 Ave & W 28 St,40.7493702419328,-73.9992338418961
326,361,E 11 St & 1 Ave,40.72953837,-73.98426726
3260,324,Mercer St & Bleecker St,40.7270636334831,-73.9966213703155
3263,465,Cooper Square & Astor Pl,40.7295149622495,-73.990752696991
327,438,Vesey Pl & River Terrace,40.7153379,-74.01658354
328,262,Watts St & Greenwich St,40.72405549,-74.00965965
3282,299,5 Ave & E 88 St,40.78307,-73.95939
3283,131,W 89 St & Columbus Ave,40.7882213,-73.97041561
3284,62,E 88 St & Park Ave,40.78141070019,-73.9559590816498
3285,114,W 87 St & Amsterdam Ave,40.78839,-73.9747
3286,101,E 89 St & 3 Ave,40.7806284,-73.9521667
3287,33,W 87 St & West End Ave,40.789622,-73.97757
3288,116,E 88 St & 1 Ave,40.778301,-73.9488134
3289,55,W 90 St & Amsterdam Ave,40.7901794809508,-73.9728891849518
3290,81,E 89 St & York Ave,40.7779453,-73.946041
3292,105,5 Ave & E 93 St,40.7857851,-73.957481
3293,97,W 92 St & Broadway,40.7921,-73.9739
3294,89,E 91 St & Park Ave,40.7835016,-73.955327
