id,name,latitude,longitude,N
417,Barclay St & Church St,40.71291224,-74.01020234,518
3463,E 16 St & Irving Pl,40.7353670556054,-73.9879739284515,516
500,Broadway & W 51 St,40.76228826,-73.98336183,515
3159,W 67 St & Broadway,40.77492513,-73.98266566,514
3168,Central Park West & W 85 St,40.78472675,-73.96961715,514
328,Watts St & Greenwich St,40.72405549,-74.00965965,513
325,E 19 St & 3 Ave,40.73624527,-73.98473765,511
383,Greenwich Ave & Charles St,40.735238,-74.000271,511
448,W 37 St & 10 Ave,40.75660359,-73.9979009,509
532,S 5 Pl & S 5 St,40.710451,-73.960876,507
3235,E 41 St & Madison Ave,40.752165280622,-73.9799219369888,502
3472,W 15 St & 10 Ave,40.742753828659,-74.0074735879898,499
3429,Hanson Pl & Ashland Pl,40.6850680730818,-73.9779075980186,498
174,E 25 St & 1 Ave,40.7381765,-73.97738662,493
3461,Murray St & Greenwich St,40.7148515052625,-74.0112233161926,487
3660,W 16 St & 8 Ave,40.7410215090027,-74.001384973526,484
3427,Lafayette St & Jersey St,40.7243052725033,-73.9960098266602,480
355,Bayard St & Baxter St,40.71602118,-73.99974372,479
3746,6 Ave & Broome St,40.7243083216022,-74.0047303587198,479
513,W 56 St & 10 Ave,40.768254,-73.988639,478
495,W 47 St & 10 Ave,40.76269882,-73.99301222,477
440,E 45 St & 3 Ave,40.75255434,-73.97282625,471
280,E 10 St & 5 Ave,40.73331967,-73.99510132,471
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,469
309,Murray St & West St,40.7149787,-74.013012,465
3674,Jay St & York St,40.7014031725772,-73.9867267012596,463
164,E 47 St & 2 Ave,40.75323098,-73.97032517,463
410,Suffolk St & Stanton St,40.72066442,-73.98517977,459
296,Division St & Bowery,40.71413089,-73.9970468,459
3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,448
3680,E 43 St & 5 Ave,40.7541208107793,-73.9802518486977,448
3143,5 Ave & E 78 St,40.7763214218227,-73.964273929596,447
456,E 53 St & Madison Ave,40.7597108,-73.97402311,444
346,Bank St & Hudson St,40.73652889,-74.00618026,443
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,443
3295,Central Park W & W 96 St,40.79127,-73.964839,442
483,E 12 St & 3 Ave,40.73223272,-73.98889957,440
485,W 37 St & 5 Ave,40.75038009,-73.98338988,439
489,10 Ave & W 28 St,40.75066386,-74.00176802,438
455,1 Ave & E 44 St,40.75001986,-73.96905301,436
3301,Columbus Ave & W 95 St,40.7919557,-73.968087,436
247,Perry St & Bleecker St,40.73535398,-74.00483091,436
238,Bank St & Washington St,40.7361967,-74.00859207,435
422,W 59 St & 10 Ave,40.770513,-73.988038,434
473,Rivington St & Chrystie St,40.72110063,-73.9919254,433
3156,E 72 St & York Ave,40.76663814,-73.95348296,427
3409,Bergen St & Smith St,40.6867443,-73.99063168,427
116,W 17 St & 8 Ave,40.74177603,-74.00149746,427
217,Old Fulton St,40.70277159,-73.99383605,425
3709,W 15 St & 6 Ave,40.7380461424828,-73.996429592371,425
3459,E 53 St & 3 Ave,40.7576322773944,-73.9693057537079,424
493,W 45 St & 6 Ave,40.7568001,-73.98291153,423
150,E 2 St & Avenue C,40.7208736,-73.98085795,422
362,Broadway & W 37 St,40.75172632,-73.98753523,422
2000,Front St & Washington St,40.70255088,-73.98940236,419
363,West Thames St,40.70834698,-74.01713445,416
460,S 4 St & Wythe Ave,40.71285887,-73.96590294,416
146,Hudson St & Reade St,40.71625008,-74.0091059,415
385,E 55 St & 2 Ave,40.75797322,-73.96603308,413
502,Henry St & Grand St,40.714215,-73.981346,407
522,E 51 St & Lexington Ave,40.75714758,-73.97207836,406
3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,406
3360,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,404
279,Peck Slip & Front St,40.707873,-74.00167,403
480,W 53 St & 10 Ave,40.76669671,-73.99061728,403
3697,W 64 St & Thelonious Monk Circle,40.7751595343424,-73.9891869574785,402
3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,402
3712,W 35 St & Dyer Ave,40.754691750226,-73.9974018931389,399
369,Washington Pl & 6 Ave,40.73224119,-74.00026394,399
3160,Central Park West & W 76 St,40.77896784,-73.97374737,399
3423,West Drive & Prospect Park West,40.6610633719006,-73.9794525504112,390
3715,Driggs Ave & N 9 St,40.7181696945421,-73.9552013576031,387
411,E 6 St & Avenue D,40.72228087,-73.97668709,379
3372,E 74 St & 1 Ave,40.7689738,-73.95482273,379
3258,W 27 St & 10 Ave,40.7501815632568,-74.0021842718124,378
349,Rivington St & Ridge St,40.71850211,-73.98329859,376
391,Clark St & Henry St,40.69760127,-73.99344559,372
267,Broadway & W 36 St,40.75097711,-73.98765428,370
228,E 48 St & 3 Ave,40.7546011026,-73.971878855,367
295,Pike St & E Broadway,40.71406667,-73.99293911,366
3521,Lenox Ave & W 111 St,40.7987859,-73.9523,364
3092,Berry St & N 8 St,40.7190095,-73.95852515,362
239,Willoughby St & Fleet St,40.69196566,-73.9813018,362
3440,Fulton St & Adams St,40.6924182925785,-73.989494740963,361
389,Broadway & Berry St,40.71044554,-73.96525063,357
393,E 5 St & Avenue C,40.72299208,-73.97995466,355
316,Fulton St & William St,40.70955958,-74.00653609,354
454,E 51 St & 1 Ave,40.75455731,-73.96592976,348
3112,Milton St & Franklin St,40.72906,-73.95779,347
324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,345
3232,Bond St & Fulton St,40.6896218879033,-73.9830426871777,343
481,S 3 St & Bedford Ave,40.71260486,-73.96264403,343
302,Avenue D & E 3 St,40.72082834,-73.97793172,342
3402,Court St & State St,40.6902375,-73.99203074,342
3507,Park Ave & E 124 St,40.8045555,-73.9396861,341
3788,E 12 St & 4 Av,40.73269,-73.98974,341
3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,340
3132,E 59 St & Madison Ave,40.76350532,-73.97109243,339
3699,W 50 St & 9 Ave,40.7636046779586,-73.9891795814037,338
259,South St & Whitehall St,40.70122128,-74.01234218,338
320,Leonard St & Church St,40.717571,-74.005549,337
3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,337
427,Bus Slip & State St,40.701907,-74.013942,337
3725,2 Ave & E 72 St,40.7687620293096,-73.9584079384804,335
423,W 54 St & 9 Ave,40.76584941,-73.98690506,334
3314,W 95 St & Broadway,40.7937704,-73.971888,334
3812,University Pl & E 14 St,40.734814,-73.992085,327
331,Pike St & Monroe St,40.71173107,-73.99193043,325
415,Pearl St & Hanover Square,40.7047177,-74.00926027,321
360,William St & Pine St,40.70717936,-74.00887308,318
3166,Riverside Dr & W 72 St,40.7805779901033,-73.9856243133545,318
3161,W 76 St & Columbus Ave,40.7801839724239,-73.9772853255272,318
434,9 Ave & W 18 St,40.74317449,-74.00366443,317
3173,Riverside Blvd & W 67 St,40.777507027548,-73.9888858795166,315
3318,2 Ave & E 96 St,40.7839636,-73.9471673,314
