godzina,month,weekend,liczba_tras,usertype,student
0,4,TRUE,5,Subscriber,TRUE
0,10,TRUE,13,Customer,FALSE
0,3,TRUE,1,Customer,TRUE
0,4,FALSE,3,Customer,TRUE
0,11,FALSE,9,Customer,FALSE
0,7,TRUE,25,Customer,FALSE
0,1,FALSE,7,Subscriber,TRUE
0,12,TRUE,17,Customer,FALSE
0,2,FALSE,3,Subscriber,TRUE
0,7,FALSE,39,Customer,FALSE
0,6,TRUE,29,Customer,FALSE
0,6,FALSE,23,Customer,FALSE
0,12,FALSE,6,Subscriber,TRUE
0,5,FALSE,18,Customer,FALSE
0,11,TRUE,13,Customer,FALSE
0,8,TRUE,15,Customer,TRUE
0,9,FALSE,12,Customer,TRUE
0,7,FALSE,9,Customer,TRUE
0,8,FALSE,23,Customer,TRUE
0,6,FALSE,10,Customer,TRUE
0,6,TRUE,13,Customer,TRUE
0,8,TRUE,34,Customer,FALSE
0,2,TRUE,2,Subscriber,TRUE
0,12,FALSE,6,Customer,FALSE
0,1,TRUE,1,Customer,TRUE
0,4,TRUE,1,Customer,TRUE
0,11,TRUE,3,Customer,TRUE
0,5,FALSE,7,Customer,TRUE
0,11,FALSE,8,Customer,TRUE
0,9,TRUE,8,Customer,TRUE
0,7,TRUE,9,Customer,TRUE
0,12,FALSE,4,Customer,TRUE
0,1,TRUE,1,Customer,FALSE
0,3,FALSE,1,Customer,FALSE
0,3,FALSE,2,Customer,TRUE
0,3,TRUE,5,Customer,FALSE
0,12,TRUE,5,Customer,TRUE
0,5,TRUE,6,Customer,TRUE
0,10,FALSE,3,Customer,TRUE
0,4,FALSE,2,Customer,FALSE
1,2,FALSE,5,Subscriber,TRUE
1,6,TRUE,12,Subscriber,TRUE
1,5,FALSE,52,Subscriber,FALSE
1,8,TRUE,75,Subscriber,FALSE
1,6,TRUE,79,Subscriber,FALSE
1,8,FALSE,21,Customer,FALSE
1,4,TRUE,46,Subscriber,FALSE
1,2,FALSE,28,Subscriber,FALSE
1,12,TRUE,4,Subscriber,TRUE
1,10,FALSE,55,Subscriber,FALSE
1,10,TRUE,57,Subscriber,FALSE
1,1,FALSE,41,Subscriber,FALSE
1,7,TRUE,51,Subscriber,FALSE
1,3,TRUE,9,Subscriber,TRUE
1,4,FALSE,5,Subscriber,TRUE
1,3,FALSE,24,Subscriber,FALSE
1,5,TRUE,6,Subscriber,TRUE
1,11,TRUE,39,Subscriber,FALSE
1,2,TRUE,5,Subscriber,TRUE
1,9,TRUE,68,Subscriber,FALSE
1,2,TRUE,26,Subscriber,FALSE
1,4,FALSE,56,Subscriber,FALSE
1,8,FALSE,67,Subscriber,FALSE
1,5,TRUE,40,Subscriber,FALSE
1,6,FALSE,39,Subscriber,FALSE
1,12,FALSE,4,Subscriber,TRUE
1,12,FALSE,40,Subscriber,FALSE
1,9,FALSE,55,Subscriber,FALSE
1,7,FALSE,58,Subscriber,FALSE
1,6,FALSE,6,Subscriber,TRUE
1,12,TRUE,41,Subscriber,FALSE
1,1,TRUE,13,Subscriber,FALSE
1,3,TRUE,38,Subscriber,FALSE
1,9,TRUE,8,Subscriber,TRUE
1,4,TRUE,8,Subscriber,TRUE
1,8,FALSE,10,Subscriber,TRUE
1,8,TRUE,21,Customer,FALSE
1,10,FALSE,13,Customer,FALSE
1,11,FALSE,39,Subscriber,FALSE
1,9,TRUE,31,Customer,FALSE
1,11,FALSE,4,Customer,TRUE
1,3,FALSE,2,Subscriber,TRUE
1,7,TRUE,18,Customer,FALSE
1,8,TRUE,5,Subscriber,TRUE
1,7,TRUE,7,Subscriber,TRUE
1,6,FALSE,15,Customer,FALSE
1,7,FALSE,11,Subscriber,TRUE
1,11,TRUE,5,Subscriber,TRUE
1,5,FALSE,15,Subscriber,TRUE
1,9,FALSE,5,Subscriber,TRUE
1,2,TRUE,4,Customer,FALSE
1,9,FALSE,21,Customer,FALSE
1,7,TRUE,3,Customer,TRUE
1,12,FALSE,6,Customer,FALSE
1,5,TRUE,15,Customer,FALSE
1,3,TRUE,10,Customer,FALSE
1,11,FALSE,6,Customer,FALSE
1,8,FALSE,2,Customer,TRUE
1,10,FALSE,3,Subscriber,TRUE
